"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-03-31,87503,"67208","KS","Wichita","Sedgwick","Wichita",5199,95300,0,0.0170757737459979,0.064804469273743,0.0195660334325913,0.0176543453563338,"2009-06","2009-Q2",107400,-0.112662942271881,"2008-04"
2016-03-31,66766,"21078","MD","Baltimore","Harford","Havre de Grace",5200,240400,0,0.0160608622147084,0.0534618755477651,-0.00724419100854923,-0.0154138190505644,"2007-01","2007-Q1",299200,-0.196524064171123,"2005-02"
2016-03-31,74002,"36693","AL","Mobile","Mobile","Mobile",5201,128000,0.00234925606891151,0.0102604577742699,0.0191082802547771,0.00251892361199468,-0.0121200577710219,"2008-06","2008-Q2",150500,-0.149501661129568,"2005-07"
2016-03-31,87048,"66030","KS","Kansas City","Johnson","Gardner",5202,167400,0.00843373493975904,0.00904159132007233,0.0568181818181818,0.0209706153013938,0.00522470989284818,"2016-03","2016-Q1",167400,0,"2016-03"
2016-03-31,77047,"44147","OH","Cleveland","Cuyahoga","Broadview Heights",5203,210800,0.00237755587256301,0.00909526089037817,0.0343473994111874,0.0192835619159615,-0.00280261062339704,"2005-05","2005-Q2",220100,-0.0422535211267606,"2004-08"
2016-03-31,95814,"89118","NV","Las Vegas","Clark","Las Vegas",5204,167500,0.0126964933494559,0.0501567398119122,0.243504083147736,0.140509789155902,-0.0364844464278966,"2006-08","2006-Q3",250000,-0.33,
2016-03-31,82287,"55437","MN","Minneapolis-St Paul","Hennepin","Bloomington",5205,244300,0.00040950040950041,0.00205086136177194,0.0149563772330702,0.0238886498009525,-0.00921626767074335,"2006-04","2006-Q2",268400,-0.0897913561847988,"2004-05"
2016-03-31,96230,"90746","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Carson",5206,473700,0.00466595970307529,0.0134788189987163,0.0623458174478583,0.0692674910826079,-0.0147517637839261,"2006-11","2006-Q4",565100,-0.161741284728367,"2005-04"
2016-03-31,73115,"34465","FL","Homosassa Springs","Citrus","Beverly Hills",5207,80300,0.00752823086574655,0.0151706700379267,0.0954979536152797,0.0319966461961676,-0.0584821824473193,"2006-05","2006-Q2",148200,-0.458164642375169,"2003-02"
2016-03-31,85953,"63135","MO","St. Louis","Saint Louis","Ferguson",5208,60500,-0.00329489291598023,-0.00981996726677578,-0.00165016501650165,-0.021948472375329,-0.038079784142564,"2007-06","2007-Q2",97900,-0.382022471910112,"1999-03"
2016-03-31,78088,"46311","IN","Chicago","Lake","Dyer",5209,207500,-0.00527325023969319,-0.0119047619047619,-0.0226095148374941,0.0221179879312332,0.0091687941081724,"2008-08","2008-Q3",217900,-0.0477283157411657,"2007-10"
2016-03-31,93253,"80124","CO","Denver","Douglas","Lone Tree",5210,484600,0.00435233160621762,0.0152943641315734,0.104375569735643,0.0815196664456681,0.0269891280029497,"2016-03","2016-Q1",484600,0,"2016-03"
2016-03-31,66146,"20024","DC","Washington","District of Columbia","Washington",5211,352700,-0.00563856780377784,-0.00787623066104079,0.0155485171321624,0.0370784880385415,0.00609692288381347,"2016-01","2016-Q1",356200,-0.00982594048287479,"2015-11"
2016-03-31,96508,"91768","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Pomona",5212,336400,0.00328064419922457,0.00990693485439808,0.0328523180841265,0.0904361686660204,-0.019327746889264,"2006-08","2006-Q3",424500,-0.2075382803298,"2005-03"
2016-03-31,91838,"77316","TX","Houston","Montgomery","Montgomery",5213,280000,0.00755667506297229,0.0174418604651163,0.03397341211226,0.0892597390128238,0.0649737932056222,"2016-03","2016-Q1",280000,0,"2016-03"
2016-03-31,62267,"11795","NY","New York","Suffolk","Islip",5214,382700,0.0105624504885133,0.0502195389681668,0.117046117921775,0.00231544867905953,-0.0197738863603687,"2006-07","2006-Q3",474600,-0.193636746734092,"2004-03"
2016-03-31,72250,"32826","FL","Orlando","Orange","Orlando",5215,174600,-0.0011441647597254,0.00866551126516464,0.104364326375712,0.0711855830692085,,"2016-02","2016-Q1",174800,-0.0011441647597254,"2016-02"
2016-03-31,60589,"07080","NJ","New York","Middlesex","South Plainfield",5216,320000,0.00470957613814757,0.0191082802547771,-0.00959455277004024,0.0109107349740589,-0.00826753868016483,"2006-08","2006-Q3",360500,-0.112343966712899,"2005-05"
2016-03-31,90322,"74145","OK","Tulsa","Tulsa","Tulsa",5217,120000,-0.00166389351081531,-0.004149377593361,0.0126582278481013,0.0146199801225235,0.0116268650754261,"2015-10","2015-Q4",120700,-0.00579950289975145,"2015-06"
2016-03-31,77628,"45371","OH","Dayton","Miami","Tipp City",5218,163900,-0.0012187690432663,-0.00243457090687766,0.00675675675675676,0.0184259856027089,-0.00103134341956046,"2005-09","2005-Q3",167100,-0.0191502094554159,"2005-03"
2016-03-31,63013,"13206","NY","Syracuse","Onondaga","Syracuse",5219,83900,-0.00474495848161329,0.00358851674641148,0.0182038834951456,0.00264299699095027,0.0110075807221706,"2015-07","2015-Q3",84900,-0.0117785630153121,"2015-05"
2016-03-31,72597,"33431","FL","Miami-Fort Lauderdale","Palm Beach","Boca Raton",5220,337300,-0.0002963841138115,0.0135216346153846,0.108445612882024,0.078837682282616,-0.0232366182044592,"2006-04","2006-Q2",427100,-0.210255209552798,"2005-02"
2016-03-31,72483,"33181","FL","Miami-Fort Lauderdale","Miami-Dade","North Miami",5221,193800,0.0178571428571429,0.0648351648351648,0.0857142857142857,0.149410947576956,-0.0272610930816742,"2007-02","2007-Q1",276600,-0.299349240780911,"2005-03"
2016-03-31,72256,"32832","FL","Orlando","Orange","Orlando",5222,275700,0.000362844702467344,0.00878155872667398,0.0502857142857143,0.0810816346236043,-0.0235237245508004,"2006-06","2006-Q2",367600,-0.25,"2005-05"
2016-03-31,74975,"38732","MS","Cleveland","Bolivar","Cleveland",5223,107500,-0.00921658986175115,-0.0280289330922242,-0.0652173913043478,0.01805440943574,0.0164681351663905,"2013-08","2013-Q3",126100,-0.147501982553529,"2012-11"
2016-03-31,67748,"23504","VA","Virginia Beach","Norfolk City","Norfolk",5224,132100,0.00227617602427921,-0.00226586102719033,0.0459224069675376,0.00274771354355918,-0.0107649383140855,"2007-02","2007-Q1",157500,-0.161269841269841,"2005-07"
